iter	Passed	Remaining
0	154	23003
1	162	12013
2	168	8267
3	175	6393
4	182	5304
5	189	4536
6	195	4001
7	201	3582
8	208	3260
9	214	3003
10	220	2790
11	227	2615
12	234	2468
13	239	2323
14	244	2202
15	250	2101
16	256	2010
17	262	1923
18	269	1857
19	275	1791
20	281	1729
21	288	1676
22	293	1621
23	299	1571
24	304	1524
25	308	1472
26	314	1433
27	320	1395
28	325	1359
29	332	1330
30	338	1300
31	345	1273
32	351	1246
33	357	1219
34	364	1197
35	373	1182
36	380	1160
37	386	1138
38	392	1117
39	398	1096
40	403	1072
41	409	1053
42	416	1036
43	422	1018
44	427	998
45	434	981
46	440	966
47	445	945
48	451	929
49	457	915
50	464	901
51	470	887
52	478	875
53	484	861
54	490	847
55	497	834
56	503	821
57	510	810
58	530	818
59	537	806
60	548	800
61	556	790
62	566	782
63	576	774
64	584	764
65	596	759
66	606	750
67	614	740
68	622	730
69	628	718
70	635	707
71	642	695
72	648	684
73	654	672
74	660	660
75	667	650
76	673	638
77	681	628
78	687	617
79	692	606
80	699	595
81	705	585
82	712	575
83	718	564
84	725	554
85	732	544
86	738	534
87	745	525
88	752	515
89	761	507
90	768	498
91	774	488
92	781	478
93	788	469
94	795	460
95	805	453
96	811	443
97	817	433
98	824	424
99	829	414
100	835	405
101	841	395
102	848	386
103	854	377
104	860	368
105	866	359
106	871	350
107	877	341
108	883	332
109	889	323
110	895	314
111	900	305
112	905	296
113	912	288
114	917	279
115	923	270
116	929	262
117	934	253
118	940	244
119	945	236
120	952	228
121	964	221
122	972	213
123	980	205
124	988	197
125	995	189
126	1001	181
127	1008	173
128	1014	165
129	1020	157
130	1026	148
131	1032	140
132	1038	132
133	1045	124
134	1051	116
135	1057	108
136	1063	100
137	1069	92
138	1074	85
139	1080	77
140	1085	69
141	1091	61
142	1096	53
143	1101	45
144	1108	38
145	1115	30
146	1137	23
147	1143	15
148	1148	7
149	1155	0
